artist_name,track_name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Snails,Forever - Funtcase Remix,0.0134,0.312,0.981,0.0619,0.289,-2.788,0.38,149.6,0.043
Lifehouse,Everything,0.102,0.307,0.407,0.0571,0.103,-8.25,0.028,90.255,0.0433
Brillz,Callisto,0.0493,0.416,0.823,0.0141,0.0592,-6.464,0.065,104.807,0.0449
Chevelle,Family System,0.0022,0.428,0.923,0.496,0.105,-4.121,0.162,140.224,0.0469
Eminem,Phenomenal,0.153,0.64,0.841,0,0.0457,-2.426,0.0466,121.075,0.0471
Moby,The Sorrow Tree - Post Hominum Remix,0.0002,0.442,0.735,0.162,0.098,-4.806,0.0349,117.986,0.0474
Little Dragon,A New,0.0109,0.402,0.826,0.0008,0.0945,-7.105,0.0553,172.85,0.0476
Jauz,Alpha [LAXX Remix],0.022,0.546,0.909,0.0001,0.345,-3.354,0.362,150.003,0.0483
Bro Safari,Bender,0.237,0.484,0.888,0.0022,0.174,-3.491,0.0503,146.064,0.0489
J. Cole,Villuminati,0.0493,0.657,0.836,0.0037,0.367,-6.075,0.196,107.352,0.049
Bro Safari,Collisions,0.286,0.381,0.524,0.0321,0.1,-6.622,0.0369,159.97,0.049
Bonobo,Flashlight,0.0707,0.679,0.95,0.948,0.114,-6.76,0.0614,119.905,0.0495
Zero 7,This World,0.214,0.261,0.455,0.481,0.104,-8.857,0.0415,133.917,0.0499
VHS Collection,Sign,0.0117,0.675,0.6,0.0055,0.0866,-6.261,0.0345,112.005,0.0501
Björk,Body Memory,0.835,0.312,0.523,0.0001,0.127,-8.226,0.0499,119.846,0.0511
Thievery Corporation,Beautiful Drug,0.473,0.519,0.32,0.846,0.11,-11.238,0.0293,60.933,0.0517
Muse,Algorithm (Alternate Reality Version),0.0139,0.441,0.747,0.0224,0.111,-9.034,0.0585,84.96,0.0517
DJ Shadow,Building Steam With A Grain Of Salt - Salva Remix,0.0066,0.715,0.901,0.607,0.091,-5.484,0.187,164.074,0.053
Way Out West,Lullaby Horizon - Sunday Maybe Mix,0.0098,0.627,0.411,0.847,0.123,-10.366,0.0267,105.042,0.0536
Daniel Avery,Fever Dream,0.307,0.626,0.947,0.868,0.105,-12.54,0.0667,129.999,0.0538
Champagne Drip,Moonlight,0.0033,0.635,0.889,0.38,0.108,-4.267,0.0431,129.005,0.0539
NAV,Interlude,0.115,0.406,0.351,0.0577,0.147,-12.168,0.0789,88.149,0.0542
Oliver Koletzki,Tankwa Town,0.102,0.736,0.401,0.293,0.0938,-11.285,0.0476,100.008,0.0543
Excision,Drowning (Krimer Remix),0.0278,0.405,0.977,0.0003,0.246,-0.516,0.314,140.201,0.0549
GAS,Rausch 2,0.168,0.315,0.262,0.599,0.128,-21.502,0.0396,110.061,0.0553
G Jones,Time,0.159,0.364,0.862,0.44,0.126,-5.651,0.301,82.001,0.0557
12th Planet,Swamplex Terrestrial,0.0005,0.515,0.974,0.0169,0.121,-2.461,0.506,75.032,0.0558
Datsik,Nasty,0.0003,0.461,0.964,0.3,0.247,-3.275,0.223,112.586,0.0558
Lionel Richie,Hello,0.401,0.562,0.244,0,0.107,-14.068,0.0374,61.881,0.0563
A$AP Rocky,Lord Pretty Flacko Jodye 2 (LPFJ2),0.0122,0.489,0.718,0,0.0546,-5.989,0.11,207.986,0.0568
Jamiroquai,Didjerama - Remastered,0.135,0.248,0.295,0.831,0.903,-18.166,0.0434,90.398,0.0571
Zeds Dead,This Is Me,0.19,0.583,0.63,0.0015,0.0932,-6.298,0.0318,126.053,0.0571
Juno Reactor,Tetsujin,0.0372,0.352,0.86,0.731,0.0979,-7.89,0.0709,127.944,0.0571
Foo Fighters,"The Pretender - Live at the Roundhouse, London, UK - July 2011",0.0043,0.186,0.988,0.0045,0.633,-5.496,0.15,177.201,0.0571
Kai Wachi,DEMONS,0.0227,0.515,0.75,0.691,0.127,-5.678,0.0884,150.048,0.0572
Digitalism,Highspeed Sunrise,0.0019,0.472,0.603,0.961,0.125,-10.018,0.0292,125.05,0.0582
Oneohtrix Point Never,Toys 2,0.262,0.206,0.315,0.0632,0.186,-9.576,0.0334,81.062,0.0584
Josh Golden,Pompeii,0.0084,0.557,0.34,0,0.0899,-3.965,0.0293,110.086,0.0585
Gent & Jawns,The Meaning,0.0019,0.602,0.948,0.802,0.077,-4.984,0.0421,134.958,0.0585
Bassnectar,Horizons,0.0054,0.37,0.754,0.0105,0.195,-3.124,0.034,100.035,0.0586
Nine Inch Nails,March Of The Pigs,0.0278,0.512,0.84,0.142,0.077,-6.817,0.0464,134.466,0.0589
Ladytron,White Elephant - Strange Fruit Remix,0.0079,0.519,0.728,0.0818,0.174,-8.145,0.0449,112.999,0.059
G Jones,Mind,0.0337,0.513,0.828,0.569,0.109,-5.439,0.0609,178.543,0.0591
Champagne Drip,A Different World,0.0299,0.565,0.809,0.528,0.0919,-5.956,0.121,128.088,0.0593
Jon Hopkins,Immunity,0.892,0.434,0.305,0.942,0.111,-18.173,0.0364,139.878,0.0594
Space Jesus,M. Night Shambhala,0.013,0.629,0.649,0.513,0.349,-7.515,0.0559,139.998,0.0595
Mees Dierdorp,Wild Window (feat. Tricky Trio),0.0019,0.775,0.501,0.89,0.107,-10.875,0.0337,115.992,0.0599
Passion,"God, You’re So Good - Live",0.289,0.201,0.342,0,0.0951,-7.137,0.0308,139.319,0.06
Passion,"God, You’re So Good - Live",0.289,0.201,0.342,0,0.0951,-7.137,0.0308,139.319,0.06
