artist_name,track_name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Seether,Driven Under,0.0003,0.56,0.855,0.0005,0.124,-3.272,0.0305,130.702,0.275
Papa Roach,Born For Greatness,0.0571,0.525,0.85,0,0.0555,-5.469,0.0678,134.115,0.275
The Lumineers,Sleep On The Floor,0.249,0.389,0.431,0,0.13,-8.061,0.0344,142.14,0.275
The Marías,Only in My Dreams,0.405,0.519,0.498,0.0965,0.0999,-11.604,0.0295,143.931,0.275
Simon & Garfunkel,El Condor Pasa (If I Could),0.836,0.33,0.214,0.0701,0.178,-17.699,0.0311,147.795,0.275
Chip,Hit Me Up,0.309,0.552,0.441,0,0.13,-6.449,0.0822,149.743,0.275
Lecrae,Cry For You,0.304,0.642,0.353,0,0.0927,-12.384,0.215,89.596,0.276
Lecrae,Cry For You,0.304,0.642,0.353,0,0.0927,-12.384,0.215,89.596,0.276
Tenth Avenue North,Healing Begins,0.0142,0.541,0.583,0,0.102,-7.047,0.0285,96.008,0.276
OneRepublic,Start Again (feat. Logic),0.162,0.564,0.722,0,0.0931,-5.59,0.124,99.083,0.276
Type O Negative,Love You to Death,0.359,0.423,0.738,0.084,0.0801,-7.329,0.0319,111.414,0.276
Jauz,Rock The Party,0.0211,0.703,0.979,0.0047,0.0797,-3.245,0.13,128.034,0.276
Lecrae,Preach,0.0296,0.858,0.632,0,0.102,-7.032,0.22,139.606,0.276
The National,You Had Your Soul with You,0.0194,0.521,0.777,0.0958,0.0866,-5.824,0.0878,154.007,0.276
Smokepurpp,Audi.,0.0214,0.794,0.366,0,0.0964,-10.051,0.135,122.993,0.278
BlocBoy JB,Bacc Street Boys,0.0027,0.754,0.498,0,0.146,-7.555,0.0517,135.094,0.278
Jackson Browne,These Days,0.515,0.471,0.357,0.0036,0.114,-11.333,0.0283,138.255,0.278
Lily Allen,Somewhere Only We Know,0.935,0.314,0.286,0.0258,0.0999,-10.191,0.035,172.021,0.278
Wifisfuneral,Wya? (feat. Ugly God) - Remix,0.35,0.856,0.302,0,0.0626,-15.745,0.449,84.999,0.28
Zero 7,Look Up,0.0077,0.293,0.726,0.108,0.106,-7.038,0.0373,103.741,0.28
Space Jesus,The Sultan (feat. Soohan),0.0003,0.578,0.917,0.503,0.114,-5.709,0.0619,113.251,0.28
Citizen,The Summer,0.0001,0.276,0.835,0,0.186,-4.779,0.0508,131.843,0.28
Rascal Flatts,Back To Life,0.191,0.467,0.701,0,0.0769,-4.997,0.0302,132.041,0.28
Rascal Flatts,Back To Us,0.107,0.521,0.669,0,0.178,-4.691,0.0264,94.057,0.281
Meek Mill,I Got the Juice,0.104,0.875,0.527,0,0.428,-7.328,0.187,111.07,0.281
$uicideBoy$,King Tulip,0.15,0.585,0.579,0,0.111,-9.387,0.447,120.838,0.281
Tracy Lawrence,Paint Me a Birmingham,0.0757,0.519,0.52,0,0.166,-4.547,0.03,129.862,0.281
Craig Xen,Wassup Bro!,0.248,0.81,0.585,0.0115,0.0959,-7.037,0.288,139.968,0.281
Liquid Stranger,Redline Feat. Spear,0.0024,0.588,0.759,0.0159,0.409,-5.587,0.0544,144.953,0.281
Future,Mask Off,0.0102,0.833,0.434,0.0219,0.165,-8.795,0.431,150.062,0.281
Nipsey Hussle,Million While You Young (feat. The-Dream),0.15,0.502,0.696,0,0.382,-4.875,0.41,86.353,0.282
Nicolas Jaar,Too Many Kids Finding Rain In the Dust,0.872,0.741,0.203,0.604,0.266,-16.849,0.0469,110.023,0.282
KISS,Beth,0.872,0.407,0.217,0.0015,0.178,-13.548,0.0343,115.506,0.282
Martha Reeves & The Vandellas,Dancing In The Street,0.0152,0.56,0.591,0.0004,0.225,-9.346,0.042,125.99,0.282
Baauer,Harlem Shake,0.0111,0.452,0.794,0.0018,0.416,-5.151,0.0483,137.825,0.282
What So Not,Lone - SLUMBERJACK Remix,0.007,0.545,0.91,0.0222,0.355,-4.346,0.0675,152.985,0.282
Virtual Riot,Never Let Me Go,0.0141,0.461,0.94,0.0031,0.0987,-4.897,0.111,155.017,0.282
Air,Seven Stars,0.176,0.522,0.687,0.481,0.181,-9.448,0.0419,161.173,0.282
Space Laces,Cruise Control - IVORY Remix,0.0143,0.534,0.904,0.0019,0.0706,-2.328,0.253,75.003,0.283
Flying Lotus,Never Catch Me,0.316,0.526,0.936,0.0004,0.261,-4.576,0.263,81.305,0.283
Flying Lotus,Never Catch Me,0.316,0.526,0.936,0.0004,0.261,-4.576,0.263,81.305,0.283
Moose Blood,Gum,0.0085,0.501,0.667,0,0.281,-6.196,0.0284,82.522,0.283
Justice,Genesis,0.0168,0.693,0.789,0.366,0.0985,-5.13,0.384,117.055,0.283
Tsuruda,Heat Wave,0.0128,0.45,0.755,0.205,0.802,-8.63,0.544,120.156,0.283
Kings of Leon,Over,0.002,0.414,0.799,0.507,0.114,-8.253,0.0335,126.852,0.283
Mac Ayres,Pickled Ginger,0.784,0.492,0.347,0.0028,0.174,-12.875,0.0764,60.865,0.284
Interpol,NYC,0.0141,0.171,0.753,0.0481,0.11,-4.871,0.0312,77.76,0.284
Breaking Benjamin,What Lies Beneath,0.0024,0.429,0.889,0,0.13,-3.855,0.0786,95.07,0.284
Yandel,Te Amare,0.0597,0.765,0.613,0.0005,0.129,-5.58,0.0361,97.04,0.284
MARINA,Handmade Heaven,0.367,0.379,0.503,0,0.111,-5.814,0.0374,106.999,0.284
Alex Clare,Too Close,0.0137,0.579,0.731,0,0.113,-4.16,0.0452,126.07,0.284
Lil Yachty,Peek A Boo,0.06,0.957,0.593,0,0.0908,-6.982,0.301,127.027,0.284
Young Thug,With Them,0.0022,0.926,0.517,0,0.091,-6.794,0.184,132.07,0.284
Broken Bells,The Mall & Misery,0.364,0.585,0.653,0.0117,0.133,-6.473,0.0377,136.937,0.284
Young Dolph,Thinking Out Loud,0.483,0.789,0.452,0,0.0892,-7.538,0.48,140.101,0.284
Creed,My Own Prison,0.0277,0.505,0.778,0.0028,0.115,-4.778,0.0398,140.493,0.284
Creed,My Own Prison,0.0277,0.505,0.778,0.0028,0.115,-4.778,0.0398,140.493,0.284
System Of A Down,Boom!,0.0004,0.475,0.872,0.0247,0.118,-2.673,0.0415,154.569,0.284
Brad Paisley,Today,0.539,0.347,0.632,0.0023,0.121,-6.998,0.0381,74.257,0.285
Nicola Cruz,Tzantza,0.0366,0.8,0.471,0.821,0.11,-13.93,0.104,102.023,0.285
Dr. Dog,Abandoned Mansion,0.456,0.481,0.523,0.0046,0.0602,-7.921,0.0279,123.676,0.285
G-Eazy,Opportunity Cost,0.437,0.613,0.417,0,0.469,-11.122,0.698,137.267,0.285
Logic,Wassup,0.0822,0.795,0.568,0,0.122,-7.05,0.05,139.997,0.285
Grizfolk,Hurricane,0.0029,0.544,0.618,0.0054,0.0951,-9.34,0.0359,144.938,0.285
Air,Casanova 70,0.879,0.411,0.193,0.889,0.0667,-17.017,0.0299,180.171,0.285
Queen,Liar - Remastered 2011,0.0026,0.228,0.815,0.0672,0.186,-7.089,0.174,74.268,0.286
NGHTMRE,On The Run,0.0004,0.43,0.812,0.009,0.0531,-5.303,0.0669,149.998,0.286
Three Days Grace,Pain,0.008,0.416,0.741,0,0.273,-4.001,0.0335,160.515,0.286
Three Days Grace,Pain,0.008,0.416,0.741,0,0.273,-4.001,0.0335,160.515,0.286
PnB Rock,Ballin,0.0019,0.62,0.721,0,0.155,-6.176,0.0429,169.919,0.286
System Of A Down,Suite-Pee,0.0022,0.263,0.89,0.0035,0.306,-2.913,0.177,190.389,0.286
Raveena,Mama,0.627,0.594,0.421,0.0193,0.079,-9.699,0.0741,72.992,0.287
NAV,NAV,0.0278,0.731,0.564,0,0.121,-6.404,0.0728,85.027,0.287
Chance the Rapper,I Might Need Security,0.177,0.514,0.693,0,0.351,-5.868,0.408,110.568,0.287
Brantley Gilbert,You Don't Know Her Like I Do,0.022,0.49,0.716,0.0005,0.0526,-6.681,0.0441,74.988,0.288
Zoé,Labios Rotos - Live,0.0731,0.579,0.758,0.0029,0.708,-7.08,0.0281,109.054,0.288
Panic! At The Disco,High Hopes - Don Diablo Remix,0.0216,0.59,0.888,0,0.487,-2.851,0.0765,126.094,0.288
Stooki Sound,Uppers - QUIX Remix,0.0638,0.575,0.831,0.93,0.556,-9.835,0.45,129.982,0.288
TroyBoi,What You Know,0.0126,0.861,0.435,0.156,0.0859,-7.205,0.0697,142.126,0.288
Yellow Claw,Blood Diamond (feat. Serebro),0.002,0.527,0.789,0,0.221,-4.232,0.0343,144.963,0.288
Matt Maher,Your Love Defends Me,0.063,0.546,0.486,0,0.0892,-6.797,0.0255,78.866,0.289
Lil Peep,Avoid,0.396,0.56,0.531,0,0.103,-6.14,0.0484,79.789,0.289
Sting,Shape Of My Heart,0.722,0.524,0.31,0.0008,0.0729,-12.929,0.0333,83.931,0.289
Sanctus Real,Unstoppable God,0.0603,0.62,0.797,0,0.0716,-5.827,0.0406,106.012,0.289
Black Veil Brides,In The End,0.0002,0.447,0.935,0.0073,0.0865,-4.23,0.0906,140.03,0.289
P.O.D.,Satellite,0.0002,0.442,0.94,0.0001,0.0973,-4.396,0.0767,155.921,0.289
Modern Baseball,Tears Over Beers,0.0008,0.29,0.629,0.0007,0.107,-7.052,0.0637,179.797,0.289
SZA,Drew Barrymore,0.493,0.578,0.523,0,0.147,-5.538,0.0429,134.931,0.29
Arcade Fire,Wake Up,0.12,0.252,0.8,0.0538,0.118,-4.845,0.0368,139.361,0.29
Herobust,SHEKNOWSHEBAD,0.0021,0.551,0.94,0.785,0.211,-5.387,0.27,139.93,0.29
UZ,Rebirth - Eliminate Remix,0.0654,0.732,0.914,0.0125,0.0904,-2.282,0.191,150.03,0.29
Jamiroquai,Half the Man - Remastered,0.392,0.515,0.52,0.0003,0.107,-9.882,0.121,165.015,0.29
Keys N Krates,Music To My Ears (feat. Tory Lanez),0.0051,0.502,0.648,0,0.204,-5.698,0.0527,91.837,0.291
Dr. Dre,The Next Episode,0.0279,0.916,0.906,0,0.0803,-2.494,0.195,95.3,0.291
Matanza,Chichera,0.0235,0.893,0.531,0.302,0.268,-11.052,0.253,125.986,0.291
Arcade Fire,No Cars Go,0.0006,0.324,0.772,0.173,0.12,-6.95,0.0371,135.737,0.291
Rod Stewart,Have I Told You Lately - 2008 Remastered Version,0.498,0.523,0.366,0,0.094,-14.069,0.0331,142.814,0.291
Hannah Kerr,Split the Sea,0.244,0.531,0.711,0,0.163,-4.874,0.0583,149.645,0.291
Matt Maeson,The Hearse,0.245,0.485,0.633,0,0.201,-6.59,0.0509,156.002,0.291
Jeezy,All There,0.0456,0.684,0.76,0,0.144,-2.82,0.0358,72.475,0.292
Bomba Estéreo,To My Love,0.0676,0.426,0.705,0.0355,0.0998,-3.552,0.0411,109.977,0.292
Florence + The Machine,Howl,0.0036,0.578,0.851,0.0012,0.365,-4.468,0.061,129.998,0.293
Nickelback,Far Away,0.0007,0.518,0.797,0,0.107,-5.153,0.0309,132.915,0.293
Nickelback,Far Away,0.0007,0.518,0.797,0,0.107,-5.153,0.0309,132.915,0.293
Temple Of The Dog,Say Hello 2 Heaven,0.0841,0.306,0.639,0,0.371,-9.91,0.0336,149.686,0.293
Noah Kahan,Sink,0.391,0.568,0.494,0.0001,0.109,-8.365,0.0309,165.183,0.293
Lewis Del Mar,Tap Water Drinking,0.351,0.522,0.536,0,0.311,-6.73,0.145,75.054,0.294
Lit,Miserable,0.0038,0.424,0.706,0,0.395,-3.548,0.0404,82.081,0.294
Gorillaz,Empire Ants (feat. Little Dragon),0.181,0.601,0.772,0.0543,0.0928,-4.137,0.031,99.445,0.294
Gorillaz,Empire Ants (feat. Little Dragon),0.181,0.601,0.772,0.0543,0.0928,-4.137,0.031,99.445,0.294
Moby,First Cool Hive,0.0008,0.546,0.758,0.525,0.89,-9.664,0.0379,100.96,0.294
Kid Rock,Amen,0.036,0.701,0.794,0,0.223,-4.286,0.0338,103.994,0.294
Snail Mail,Pristine,0.0046,0.483,0.695,0.0007,0.102,-5.493,0.0313,126.212,0.294
Jauz,Claim to Be [Notion Remix],0.107,0.69,0.977,0.0006,0.141,-3.856,0.0747,130.994,0.294
Jay Rock,Rotation 112th,0.0614,0.742,0.711,0.0062,0.124,-4.658,0.237,175.903,0.294
Desiigner,Liife,0.11,0.684,0.612,0,0.331,-6.007,0.289,77.495,0.295
Boyz N Da Hood,Dem Boyz,0.0016,0.782,0.63,0,0.151,-5.683,0.162,78.516,0.295
Nightmares On Wax,Damn,0.175,0.421,0.563,0.088,0.61,-8.368,0.133,93.919,0.295
PEEKABOO,Babatunde - TYNAN Remix,0.159,0.631,0.768,0.327,0.615,-4.704,0.345,145.04,0.295
Xavier Wulf,Match Hunters (feat. Madeintyo),0.208,0.743,0.628,0,0.0852,-7.834,0.455,160.007,0.295
Rammstein,ICH TU DIR WEH,0.0011,0.295,0.878,0.191,0.113,-5.034,0.0541,165.083,0.295
Nbdy,Used To,0.2,0.389,0.54,0,0.0952,-7.713,0.0932,171.838,0.295
Ghastly,Hawt - Getter Remix,0.001,0.624,0.994,0.315,0.436,-0.967,0.319,75.017,0.296
BROCKHAMPTON,GAMBA,0.314,0.652,0.511,0.0027,0.163,-8.055,0.0916,95.045,0.296
Imagine Dragons,Mouth Of The River,0.0018,0.483,0.907,0.0509,0.152,-7.015,0.0413,96.014,0.296
Lonely Ulf,From the Beginning - Extended Version,0.129,0.857,0.35,0.735,0.107,-13.157,0.0844,98.012,0.296
Mick Jenkins,Jazz,0.25,0.636,0.61,0.0001,0.113,-9.665,0.119,125.227,0.296
Seven Lions,Calling You Home (feat. Runn),0.0636,0.381,0.861,0,0.0849,-4.407,0.0639,150.006,0.296
Fetty Wap,Love The Way,0.141,0.659,0.594,0,0.192,-6.803,0.0387,153.987,0.296
Tomáš Dvořák,Clockwise Operetta,0.718,0.518,0.302,0.94,0.103,-13.57,0.0336,170.025,0.296
Sjana Rut,I cry,0.38,0.732,0.312,0.0159,0.139,-17.175,0.0704,119.941,0.297
Foster The People,Warrant,0.0143,0.626,0.823,0.003,0.128,-5.46,0.0547,120.012,0.297
Lewis Del Mar,H.D.L.,0.104,0.599,0.753,0,0.515,-5.542,0.0442,120.04,0.297
Massive Attack,Paradise Circus,0.414,0.81,0.591,0.799,0.072,-13.385,0.0638,136.028,0.297
JID,Hasta Luego - Bonus,0.0359,0.769,0.505,0.0001,0.107,-6.882,0.252,140.063,0.297
Cage The Elephant,Trouble,0.392,0.47,0.623,0.0005,0.0992,-5.655,0.0302,77.861,0.298
Jon Hopkins,Halcyon,0.684,0.594,0.26,0.909,0.187,-16.032,0.0306,78.559,0.298
Phonte,Can We,0.688,0.445,0.583,0.0079,0.0614,-10.219,0.0535,94.764,0.298
Cody Jinks,Cast No Stones,0.0078,0.498,0.537,0.0032,0.105,-6.602,0.0292,122.965,0.298
Mike Shinoda,World's On Fire,0.017,0.721,0.568,0,0.0786,-7.809,0.0363,129.002,0.298
Sonic Youth,Kool Thing,0.0107,0.25,0.8,0.111,0.118,-11.6,0.0443,154.341,0.298
TINCUP,Lost - Original Mix,0.176,0.366,0.946,0.0118,0.0852,-1.189,0.122,84.506,0.299
Zero 7,Simple Things,0.512,0.46,0.385,0.3,0.13,-9.084,0.0271,88.963,0.299
Moby,Extreme Ways (Bourne's Legacy),0.0004,0.466,0.828,0.205,0.335,-7.898,0.0518,104.495,0.299
Moby,Extreme Ways (Bourne's Legacy) - Original Version,0.0004,0.466,0.828,0.205,0.335,-7.898,0.0518,104.495,0.299
Twenty One Pilots,Leave The City,0.726,0.506,0.379,0.0046,0.0956,-11.64,0.0334,134.985,0.299
Electric Mantis,Daybreak,0.17,0.77,0.638,0.0053,0.0972,-5.402,0.0682,141.935,0.299
Maná,Cómo Dueles En Los Labios,0.441,0.525,0.391,0.0226,0.0857,-8.98,0.0283,178.354,0.299
RL Grime,Light Me Up,0.0732,0.49,0.629,0,0.0957,-4.072,0.0399,74.967,0.3
A$AP Mob,Nasty's World,0.0896,0.665,0.612,0,0.22,-7.14,0.496,84.005,0.3
Apashe,Golden Empire feat. Zitaa - Original Mix,0.0564,0.665,0.65,0.447,0.0983,-6.782,0.0335,100.014,0.3
ARMNHMR,Wings (Florals Remix),0.0119,0.68,0.589,0,0.0873,-5.919,0.0283,100.053,0.3
Chace,Neon Lights,0.158,0.711,0.745,0.0027,0.111,-6.411,0.0379,103.021,0.3
Lil Peep,Sunlight On Your Skin - Bonus Track,0.0122,0.68,0.597,0.0006,0.114,-7.198,0.0304,120.052,0.3
The Crystal Method,Ghost in the City - Otosan Remix,0.0031,0.727,0.83,0.0433,0.317,-3.61,0.0569,123.009,0.3
$uicideBoy$,A Girl Named Drool And A Pack of Kools,0.284,0.583,0.491,0.0003,0.153,-9.79,0.0378,127.979,0.3
Dylan Scott,I Lost You,0.362,0.497,0.611,0,0.08,-7.097,0.0329,130.045,0.3
Mike Cervello,Like This,0.0013,0.65,0.942,0.417,0.0847,-2.924,0.0405,132.048,0.3
Coheed and Cambria,It Walks Among Us,0.007,0.594,0.948,0.0005,0.218,-5.381,0.0821,135.041,0.3
Cartel De Santa,Volvió el Sensei,0.0492,0.871,0.54,0,0.161,-5.478,0.29,136.121,0.3
Lewis Del Mar,"Puerto Cabezas, NI",0.245,0.667,0.647,0.0003,0.0633,-7.787,0.0487,143.995,0.3
Lewis Del Mar,"Puerto Cabezas, NI",0.245,0.667,0.647,0.0003,0.0633,-7.787,0.0487,143.995,0.3
Wiz Khalifa,So High (feat. Ghost Loft),0.118,0.628,0.629,0,0.102,-4.829,0.0485,157.99,0.3
Abstract,Im Good (feat. Roze & Drumma Battalion),0.0881,0.638,0.541,0,0.205,-10.4,0.258,78.964,0.301
South Park Mexican,I Must Be High,0.0385,0.812,0.625,0,0.0714,-5.543,0.133,81.018,0.301
Nas,Take It In Blood,0.0624,0.789,0.449,0,0.131,-13.07,0.395,91.777,0.301
HELLYEAH,Love Falls,0.0024,0.583,0.889,0,0.642,-4.112,0.035,110.023,0.301
Sasha,Out Of Time,0.0019,0.685,0.901,0.347,0.0679,-8.455,0.0453,123.007,0.301
Fatboy Slim,Song For Lindy,0.0005,0.637,0.996,0.845,0.628,-9.132,0.055,124.991,0.301
Soundgarden,The Day I Tried To Live,0.0002,0.47,0.76,0.191,0.127,-6.063,0.0597,133.308,0.301
Capstan,Stars Before The Sun,0.0002,0.204,0.945,0.0002,0.081,-2.853,0.213,179.79,0.301
Björk,Modern Things,0.233,0.253,0.373,0,0.182,-13.564,0.0804,200.145,0.301
Grandtheft,All The Way Up (feat. Lia Ices & Brasstracks),0.212,0.679,0.447,0.0161,0.118,-6.508,0.054,89.84,0.302
Mackned,Missed Calls (feat. Lil Peep),0.265,0.72,0.626,0,0.327,-9.2,0.0493,115.023,0.302
Rae Sremmurd,No Flex Zone - Remix,0.0133,0.94,0.526,0,0.157,-5.558,0.166,120.029,0.302
The Lumineers,Angela (Single Version),0.625,0.652,0.601,0.0002,0.17,-7.988,0.0317,130.308,0.302
Thrice,The Dark,0.0042,0.518,0.713,0.0077,0.103,-6.031,0.0815,140.137,0.302
Dillon Francis,Ven - Continuous Mix,0.0002,0.555,0.953,0.0594,0.818,-4.411,0.109,114.885,0.303
Shy Glizzy,Get it Again (feat. Dave East),0.0763,0.821,0.654,0,0.102,-4.806,0.302,122.353,0.303
Justice,New Lands,0.0968,0.451,0.816,0.0131,0.113,-5.216,0.0759,126.941,0.303
The Avett Brothers,Shame,0.546,0.516,0.425,0,0.171,-5.503,0.0785,143.155,0.303
Casting Crowns,"Jesus, Friend Of Sinners",0.148,0.396,0.695,0,0.201,-5.492,0.0411,147.582,0.303
Gent & Jawns,Reconcile (feat. Liz),0.0032,0.478,0.73,0.0352,0.111,-6.389,0.0397,153.993,0.303
Passion Pit,Constant Conversations,0.174,0.56,0.799,0.0679,0.304,-4.466,0.0675,69.972,0.304
Passion Pit,Constant Conversations,0.174,0.56,0.799,0.0679,0.304,-4.466,0.0675,69.972,0.304
Kevin Gates,Time For That,0.0465,0.823,0.617,0,0.11,-8.21,0.248,110.007,0.304
Phil Wickham,The Secret Place - Acoustic,0.581,0.509,0.387,0,0.0781,-5.887,0.0299,125.853,0.304
Nothing More,Who We Are,0.0001,0.342,0.87,0.0004,0.0703,-6.304,0.0764,163.116,0.304
Mac Miller,Rush Hour,0.262,0.602,0.472,0,0.172,-5.375,0.265,163.817,0.304
for KING & COUNTRY,Amen,0.0076,0.64,0.469,0.0005,0.0711,-8.718,0.0412,90.001,0.305
The Notorious B.I.G.,Machine Gun Funk,0.102,0.841,0.738,0.0235,0.0901,-5.317,0.3,93.725,0.305
Booka Shade,Chemical Release,0.0014,0.701,0.626,0.901,0.0753,-9.079,0.0386,120.006,0.305
G-Eazy,Pray For Me,0.0614,0.77,0.502,0,0.069,-9.604,0.13,127.946,0.305
Big Gigantic,Long Time Coming,0.347,0.416,0.698,0.256,0.575,-6.466,0.0622,134.216,0.305
Merkules,Moment,0.347,0.71,0.679,0,0.104,-9.318,0.356,138.016,0.305
Kevin Gates,IDGAF,0.0031,0.728,0.55,0,0.0871,-6.049,0.379,139.863,0.305
Dope,Rebel Yell,0.0001,0.326,0.949,0.186,0.275,-4.226,0.0885,166.946,0.305
Kodak Black,Unexplainable,0.0721,0.672,0.422,0,0.114,-6.121,0.441,178.055,0.305
TNGHT,Goooo,0.0016,0.653,0.899,0.799,0.148,-3.954,0.035,142.999,0.306
ARMNHMR,WANT U (Feat. Lilianna Wilde),0.0327,0.299,0.792,0,0.159,-4.931,0.0565,149.834,0.306
The Cranberries,Zombie,0.0163,0.299,0.613,0.0036,0.368,-9.012,0.0347,166.96,0.306
Chase & Status,Lost & Not Found - Acoustic,0.855,0.607,0.158,0,0.106,-13.787,0.0345,57.528,0.307
Mandisa,Bleed The Same,0.0424,0.629,0.69,0,0.363,-4.894,0.0357,102.036,0.307
Quality Control,Pop Sh*t,0.0197,0.942,0.594,0,0.245,-7.912,0.252,139.011,0.307
Phoebe Bridgers,Funeral,0.947,0.215,0.263,0.0003,0.0919,-14.416,0.0378,172.332,0.307
Playboi Carti,Right Now (feat. Pi'erre Bourne),0.139,0.687,0.604,0,0.203,-5.005,0.0663,78.487,0.308
Glass Animals,Black Mambo,0.294,0.675,0.409,0.0006,0.119,-10.707,0.0423,79.954,0.308
Darius Rucker,If I Told You,0.344,0.532,0.64,0,0.361,-6.684,0.0314,84.029,0.308
Tenacious D,The Metal,0.003,0.623,0.938,0.0009,0.48,-4.161,0.123,112.022,0.308
Avenged Sevenfold,Warmness On The Soul,0.38,0.613,0.636,0.0046,0.1,-5.633,0.0287,117.965,0.308
Billy Joel,Vienna,0.659,0.532,0.495,0,0.0754,-6.662,0.0343,124.936,0.308
6 Dogs,Think A Lot,0.762,0.685,0.385,0,0.0891,-10.584,0.0714,140.007,0.308
MadeinTYO,Gucci Polo,0.0417,0.813,0.614,0,0.0993,-5.977,0.0858,145.019,0.308
Saiko,Hands Free,0.243,0.741,0.0753,0.868,0.105,-12.26,0.166,148.072,0.308
Theory of a Deadman,By the Way,0.0018,0.372,0.752,0,0.111,-3.389,0.0353,149.786,0.308
Evanescence,Imaginary,0.0105,0.396,0.765,0.0022,0.243,-5.43,0.031,150.115,0.308
Ganja White Night,Champagne,0.0106,0.748,0.626,0.0125,0.0603,-7.952,0.0732,170.05,0.308
Daughtry,Life After You,0.0534,0.434,0.764,0,0.437,-3.45,0.0299,51.316,0.309
for KING & COUNTRY,Busted Heart (Hold On To Me),0.045,0.514,0.54,0.0194,0.0878,-6.819,0.0263,101.061,0.309
Air,Le Voyage de Pénélope,0.557,0.504,0.513,0.892,0.206,-9.648,0.0309,129.873,0.309
2Pac,Dear Mama,0.379,0.773,0.542,0,0.129,-7.136,0.126,84.124,0.31
Local Natives,Café Amarillo,0.356,0.586,0.918,0.0015,0.128,-5.845,0.0708,111.994,0.31
Young Thug,Feel It,0.0959,0.721,0.513,0,0.341,-7.882,0.121,124.02,0.31
Rise Against,Blood To Bleed,0.0182,0.57,0.894,0.0106,0.0881,-3.851,0.0369,124.102,0.31
NF,Outcast,0.16,0.789,0.755,0,0.0565,-7.245,0.307,130.025,0.31
A Perfect Circle,The Noose,0.0695,0.679,0.409,0.262,0.079,-10.41,0.0313,131.982,0.31
Zomboy,Terror Squad - Bro Safari & Ricky Remedy Remix,0.0008,0.57,0.942,0.623,0.27,-3.932,0.046,145.092,0.31
A Perfect Circle,TalkTalk,0.0014,0.406,0.738,0.0117,0.154,-4.64,0.0439,150.886,0.31
Doctor P,Yim Yam - Teddy Killerz Remix,0.0043,0.493,0.983,0.14,0.225,-0.743,0.141,173.963,0.31
Radiohead,The Bends,0.0117,0.288,0.757,0.14,0.363,-8.065,0.0652,89.694,0.311
Radiohead,The Bends,0.0117,0.288,0.757,0.14,0.363,-8.065,0.0652,89.694,0.311
Peter Frampton,While My Guitar Gently Weeps,0.0414,0.421,0.728,0.013,0.271,-5.553,0.0383,113.125,0.311
3 Doors Down,Here Without You - Acoustic,0.0198,0.547,0.575,0,0.205,-6.282,0.0258,143.752,0.311
Tame Impala,Apocalypse Dreams,0.318,0.492,0.928,0.107,0.0873,-2.261,0.0495,127.995,0.312
Bonobo,Animals,0.245,0.336,0.628,0.396,0.547,-7.878,0.0272,134.993,0.312
SiR,Dreaming of Me,0.484,0.537,0.55,0,0.126,-6.122,0.0815,135.764,0.312
Future,Jersey,0.509,0.758,0.526,0.0005,0.0913,-10.81,0.255,146.054,0.312
Chris Tomlin,Resurrection Power,0.0074,0.385,0.74,0,0.0868,-4.135,0.0463,150.018,0.312
Gunna,Style Stealer (Lil Baby & Gunna),0.0733,0.802,0.527,0.0002,0.0951,-7.226,0.0701,155.994,0.312
K CAMP,Cherish My Dawgs,0.019,0.98,0.442,0,0.322,-8.866,0.271,122.04,0.313
My Morning Jacket,One Big Holiday,0.0925,0.412,0.917,0.0143,0.24,-7.036,0.0525,136.85,0.313
Audra Mae,Forever Young,0.852,0.563,0.286,0.0001,0.126,-9.816,0.0285,143.938,0.313
Real Friends,I've Given Up on You,0.563,0.526,0.377,0,0.0799,-9.762,0.0253,143.984,0.313
Zamilska,Ruin,0.484,0.425,0.873,0.809,0.143,-6.453,0.076,159.93,0.313
Lil Baby,Global,0.106,0.672,0.565,0,0.113,-6.504,0.441,163.827,0.313
American Authors,Say Amen,0.0941,0.494,0.64,0,0.165,-7.41,0.0357,80.917,0.314
Siouxsie and the Banshees,Cities In Dust - Single Version,0.0411,0.545,0.914,0,0.33,-9.506,0.136,120.053,0.314
Key Glock,Racks Today,0.165,0.93,0.447,0,0.0939,-6.332,0.452,130.001,0.314
The Galaxy,Hero (feat. JVZEL),0.322,0.561,0.579,0,0.369,-6.097,0.0816,154.906,0.314
Carbon Based Lifeforms,Endospore - Remastered,0.956,0.39,0.426,0.894,0.103,-15.723,0.045,180.196,0.314
The Beatles,Yesterday - Remastered 2009,0.879,0.332,0.179,0,0.0886,-11.83,0.0326,96.529,0.315
50 Cent,Too Rich For The Bitch,0.26,0.841,0.415,0,0.13,-7.68,0.223,128.085,0.315
Lukas Nelson and Promise of the Real,Forget About Georgia,0.236,0.626,0.602,0.0256,0.184,-6.511,0.0304,128.898,0.315
Five Finger Death Punch,Digging My Own Grave,0.0054,0.479,0.94,0,0.0854,-5.746,0.0663,155.966,0.315
Matthew West,Strong Enough,0.006,0.374,0.787,0,0.0675,-5.06,0.0385,159.881,0.315
Matthew West,Strong Enough,0.006,0.374,0.787,0,0.0675,-5.06,0.0385,159.881,0.315
J. Cole,Dollar And A Dream III,0.516,0.42,0.726,0,0.0907,-7.113,0.415,76.585,0.316
Gramatik,Doin' It,0.0034,0.73,0.753,0.211,0.05,-4.862,0.05,99.206,0.316
